   ตอบในมุมมองของคนที่ใช้คำๆนี้ ในบทสนทนา ถ้าเห็นเขาใช้ คำๆนี้แล้วคิดว่า เขามีความสัมพันธ์อย่างไรกับ คนที่เขากำลังพูดด้วย,,,,,,,
คำ (Word),สนิทกันมาก (Intimate),สนิทกัน (Close),แค่คนรู้จักกัน (acquainted),ไม่รู้จักกัน (Unfamiliar),ไม่ชอบหน้ากัน  (Dislike),"บอกไม่ได้ 
(Cannot describe)",
ประหยัด,,//,,,,,เสร็จสิ้น
อุ่นใจ,,//,,,,,เสร็จสิ้น
จน,,//,,,,,เสร็จสิ้น
จะ,,//,,,,,เสร็จสิ้น
จันทร์,,,,,,//,เสร็จสิ้น
ธันวา,,,,,,//,เสร็จสิ้น
ซุก,,//,,,,,เสร็จสิ้น
นักลงทุน,,,,,,//,เสร็จสิ้น
ตะวัน,,,,,,//,เสร็จสิ้น
ขับ,,,,,,//,เสร็จสิ้น
ซวย,,//,,,,,เสร็จสิ้น
แง,//,,,,,,เสร็จสิ้น
วันเกิด,,,,,,//,เสร็จสิ้น
สวย,,//,,,,,เสร็จสิ้น
เอ่ย,,//,,,,,เสร็จสิ้น
แบบ,,,,,,//,เสร็จสิ้น
งู,,,,,,//,เสร็จสิ้น
เด้,//,,,,,,เสร็จสิ้น
ผ้าอนามัย,,,,,,//,เสร็จสิ้น
ยาง,,,,,,//,เสร็จสิ้น
จริง,,//,,,,,เสร็จสิ้น
เธอ,,//,,,,,เสร็จสิ้น
ฮะ,,//,,,,,เสร็จสิ้น
ฮ้า,,//,,,,,เสร็จสิ้น
พา,,,,,,//,เสร็จสิ้น
เป็นหนี้,,,,,//,,เสร็จสิ้น
อุปสรรค,,,,,,//,เสร็จสิ้น
จ้ะ,//,,,,,,เสร็จสิ้น
วันพระ,//,,,,,,เสร็จสิ้น
สไลด์,,,//,,,,เสร็จสิ้น
ว่ายน้ำ,,//,,,,,เสร็จสิ้น
โน้ววว,//,,,,,,เสร็จสิ้น
เหนื่อย,//,,,,,,เสร็จสิ้น
ทิม,//,,,,,,เสร็จสิ้น
เจ้าของ,,,,,,//,เสร็จสิ้น
หัว,,,,,,//,เสร็จสิ้น
ต๋อง,,//,,,,,เสร็จสิ้น
หมดค่า,,,,,,//,เสร็จสิ้น
ขนาด,,,,,,//,เสร็จสิ้น
ค่อ,,,,,,//,เสร็จสิ้น
rep,,,//,,,,เสร็จสิ้น
แหวะ,//,,,,,,เสร็จสิ้น
โอ,,,,,,//,เสร็จสิ้น
คอนโด,,//,,,,,เสร็จสิ้น
ปวด,//,,,,,,เสร็จสิ้น
คร๊าบ,//,,,,,,เสร็จสิ้น
ค้าง,//,,,,,,เสร็จสิ้น
เมื่อ,,//,,,,,เสร็จสิ้น
มด,,,,,,//,เสร็จสิ้น
เมื่อคืน,//,,,,,,เสร็จสิ้น
ล้ม,,//,,,,,เสร็จสิ้น
ฮึ,,//,,,,,เสร็จสิ้น
เอ็น,,,,,,//,เสร็จสิ้น
น้ำลาย,,,,,,//,เสร็จสิ้น
เยี่ยม,//,,,,,,เสร็จสิ้น
ยิ่งกว่า,,,,,,//,เสร็จสิ้น
นกฮูก,,,,,,//,เสร็จสิ้น
นี่,//,,,,,,เสร็จสิ้น
ลอดช่อง,,,,,,//,เสร็จสิ้น
แกงเขียวหวาน,,,,,,//,เสร็จสิ้น
หวัด,,,,,,//,เสร็จสิ้น
ตลอดวัน,,,,//,,,เสร็จสิ้น
หมอน,,//,,,,,เสร็จสิ้น
ตกลง,,,//,,,,เสร็จสิ้น
ดิน,,,,,,//,เสร็จสิ้น
อ้วง,//,,,,,,เสร็จสิ้น
ใช่,,,,,,//,เสร็จสิ้น
เกาะ,,,,,,//,เสร็จสิ้น
กราฟฟิก,,,,,,//,เสร็จสิ้น
มุ,//,,,,,,เสร็จสิ้น
ค้าบ,//,,,,,,เสร็จสิ้น
ห๊ะ,//,,,,,,เสร็จสิ้น
ชะอม,,,,,,//,เสร็จสิ้น
แต่งงาน,,,,,,//,เสร็จสิ้น
เดือด,,,,,//,,เสร็จสิ้น
แลน,,,,,,//,เสร็จสิ้น
รัก,//,,,,,,เสร็จสิ้น
นิค,,//,,,,,เสร็จสิ้น
ขา,,,,,,//,เสร็จสิ้น
เครื่อง,,,,,,//,เสร็จสิ้น
กระปุก,,,,,,//,เสร็จสิ้น
แตก,,,,,,//,เสร็จสิ้น
อ้วก,,//,,,,,เสร็จสิ้น
ประเสริฐ,,,,//,,,เสร็จสิ้น
เนต,//,,,,,,เสร็จสิ้น
ซี้ด,//,,,,,,เสร็จสิ้น
น้องสาว,,,,//,,,เสร็จสิ้น
???,,,,,//,,เสร็จสิ้น
ถัง,,,,,,//,เสร็จสิ้น
ร้านเหล้า,//,,,,,,เสร็จสิ้น
เอง,//,,,,,,เสร็จสิ้น
สาว,,//,,,,,เสร็จสิ้น
หอก,,,,,,//,เสร็จสิ้น
ลำ,,,,,,//,เสร็จสิ้น
ฟิว,,,,,,//,เสร็จสิ้น
รักบี้,,,,,,//,เสร็จสิ้น
ละเลย,,,,//,,,เสร็จสิ้น
ดิ๊ก,,,,,,//,เสร็จสิ้น
ชา,,,,,,//,เสร็จสิ้น
คิดมาก,,,,,,//,เสร็จสิ้น
ตาบอด,,,,,,//,เสร็จสิ้น
ฮอนด้า,,,,,,//,เสร็จสิ้น
บ่อนทำลาย,,,,//,,,เสร็จสิ้น
มั่ว,,,,,//,,เสร็จสิ้น
อั่งเปา,,//,,,,,เสร็จสิ้น
เมื่อเช้า,,,,,,//,เสร็จสิ้น
แดก,//,,,,,,เสร็จสิ้น
เอ่อ,,,,//,,,เสร็จสิ้น
ยังกะ,,//,,,,,เสร็จสิ้น
สุรินทร์,,,,,,//,เสร็จสิ้น
เห้อ,,,,,//,,เสร็จสิ้น
ปู,,,,,,//,เสร็จสิ้น
กัง,,,,,//,,เสร็จสิ้น
ฮิปโป,,,,,,//,เสร็จสิ้น
น้ำมัน,,,,,,//,เสร็จสิ้น
ส่า,,//,,,,,เสร็จสิ้น
เปล่า,,,,//,,,เสร็จสิ้น
เบี้ยว,,,,,,//,เสร็จสิ้น
ตี,,,,,//,,เสร็จสิ้น
อิอิ,//,,,,,,เสร็จสิ้น
หอม,,,,,,//,เสร็จสิ้น
หนู,,,,,,//,เสร็จสิ้น
ไหม,,,,,,//,เสร็จสิ้น
รายได้,,,,,,//,เสร็จสิ้น
ด้าย,,,,,,//,เสร็จสิ้น
เกา,,,,,,//,เสร็จสิ้น
รองเท้าแตะ,,//,,,,,เสร็จสิ้น
ครอบครัว,//,,,,,,เสร็จสิ้น
อย่า,,,,,//,,เสร็จสิ้น
สีเหลือง,,,,,,//,เสร็จสิ้น
รูขุมขน,,,,,,//,เสร็จสิ้น
งอแง,,//,,,,,เสร็จสิ้น
กังหันลม,,,,,,//,เสร็จสิ้น
โค่ด,//,,,,,,เสร็จสิ้น
จ้า,,//,,,,,เสร็จสิ้น
ดูถูก,,,,,//,,เสร็จสิ้น
รัฐ,,,,,,//,เสร็จสิ้น
ป้า,,//,,,,,เสร็จสิ้น
คับ,,,//,,,,เสร็จสิ้น
ครู,,,//,,,,เสร็จสิ้น
หอย,,,,,,//,เสร็จสิ้น
เพลง,,,,,,//,เสร็จสิ้น
กรู,//,,,,,,เสร็จสิ้น
ก้,//,,,,,,เสร็จสิ้น
สุข,,,,,,//,เสร็จสิ้น
ราวตากผ้า,,,,,,//,เสร็จสิ้น
สีชมพู,,,,,,//,เสร็จสิ้น
ฟาม,,,,//,,,เสร็จสิ้น
เบา,,,,,,//,เสร็จสิ้น
เอ๋า,//,,,,,,เสร็จสิ้น
ปิกนิก,,//,,,,,เสร็จสิ้น
เมื่อย,,//,,,,,เสร็จสิ้น
ไตปลา,,,,,,//,เสร็จสิ้น
เอ,,,,,,//,เสร็จสิ้น
บาท,,,,,,//,เสร็จสิ้น
สร้อยคอ,,,,,,//,เสร็จสิ้น
ว้า,//,,,,,,เสร็จสิ้น
ตัวเมือง,,,,,,//,เสร็จสิ้น
ป๋อง,,,,,,//,เสร็จสิ้น
ผี,,//,,,,,เสร็จสิ้น
เลิศ,,//,,,,,เสร็จสิ้น
แม่,//,,,,,,เสร็จสิ้น
สร้าง,,,,,,//,เสร็จสิ้น
ลา,,,,//,,,เสร็จสิ้น
แน่ๆ,,//,,,,,เสร็จสิ้น
เออ,,,,,//,,เสร็จสิ้น
ประชา,,,,,,//,เสร็จสิ้น
เสียง,,,,,,//,เสร็จสิ้น
อะ,,//,,,,,เสร็จสิ้น
ข้า,,,,//,,,เสร็จสิ้น
กาด,,,,,,//,เสร็จสิ้น
แมส,,//,,,,,เสร็จสิ้น
ลุง,,//,,,,,เสร็จสิ้น
ง่ะ,//,,,,,,เสร็จสิ้น
แปด,,,,,,//,เสร็จสิ้น
เพื่อนรัก,//,,,,,,เสร็จสิ้น
งี่,//,,,,,,เสร็จสิ้น
ศิษย์,,//,,,,,เสร็จสิ้น
บอก,,,//,,,,เสร็จสิ้น
ไข่ยัดไส้,,,,,,//,เสร็จสิ้น
ชาดก,,,,,,//,เสร็จสิ้น
เล่น,,,,,,//,เสร็จสิ้น
ห่ะ,//,,,,,,เสร็จสิ้น
นส,,,,//,,,เสร็จสิ้น
โตโยต้า,,,,,,//,เสร็จสิ้น
ฮอด,//,,,,,,เสร็จสิ้น
อุ,,,,,,//,เสร็จสิ้น
ซู่ๆ,//,,,,,,เสร็จสิ้น
อ่อ,,,,//,,,เสร็จสิ้น
เทอม,,,,,,//,เสร็จสิ้น
ซี๊ด,//,,,,,,เสร็จสิ้น
กีบ,,,,,,//,เสร็จสิ้น
ป่วย,,,,,,//,เสร็จสิ้น
พัน,,,,,,//,เสร็จสิ้น
วันนี้,,,,,,//,เสร็จสิ้น
เรียน,,,,,,//,เสร็จสิ้น
เนอะ,,//,,,,,เสร็จสิ้น
ทุก,,//,,,,,เสร็จสิ้น
ดวงจันทร์,,,,,,//,เสร็จสิ้น
กู้,,,,//,,,เสร็จสิ้น
อา,,//,,,,,เสร็จสิ้น
เรย,//,,,,,,เสร็จสิ้น
งัน,//,,,,,,เสร็จสิ้น
มา,,//,,,,,เสร็จสิ้น
ล้าน,,,,,,//,เสร็จสิ้น
ใต้,,,,,,//,เสร็จสิ้น
โอ๊ย,//,,,,,,เสร็จสิ้น
เห้ยย,//,,,,,,เสร็จสิ้น
เด้อ,//,,,,,,เสร็จสิ้น
ทนไม่ไหว,,,,,//,,เสร็จสิ้น
โพ,,,,,,//,เสร็จสิ้น
มัย,//,,,,,,เสร็จสิ้น
พื้น,,,,,,//,เสร็จสิ้น
จุก,,//,,,,,เสร็จสิ้น
ปีก่อน,,,,,,//,เสร็จสิ้น
ส้นตีน,,,,,//,,เสร็จสิ้น
เอ็ง,//,,,,,,เสร็จสิ้น
พี,,//,,,,,เสร็จสิ้น
อ่ออ,,//,,,,,เสร็จสิ้น
เทศ,,,,,,//,เสร็จสิ้น
โว้ย,,,,,//,,เสร็จสิ้น
สุขสันต์,//,,,,,,เสร็จสิ้น
